gem-location-id,gem-unit/phase-id,country/area,unit-name,plant-name,plant-name-(other),plant-name-(local),capacity-(mw),status,start-year,retired-year,location-accuracy,owner,parent,lat,lng,combustion-technology,region,url,"subnational-unit-(province,-state)"
L100000100001,G100000108106,Albania,Unit 1,Porto Romano Power Station,,,800.0,cancelled,,,approximate,Enel SpA [100%],Enel SpA [100.0%],41.371141,19.425201,ultra-supercritical,Europe,https://www.gem.wiki/Porto_Romano_Power_Station,Durres
L100000100003,G100000108585,Argentina,Unit 1,Río Turbio power station,"Central Termoeléctrica 14 Mineros, 14 Mineros power station",Central Térmica Río Turbio,120.0,mothballed,2022,,exact,Yacimientos Carboníferos de Río Turbio SA [100%],Yacimientos Carboníferos de Río Turbio SA [100.0%],-51.546015,-72.231256,subcritical,Americas,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,Santa Cruz
L100000100003,G100000108586,Argentina,Unit 2,Río Turbio power station,"Central Termoeléctrica 14 Mineros, 14 Mineros power station",Central Térmica Río Turbio,120.0,construction,2023,,exact,Yacimientos Carboníferos de Río Turbio SA [100%],Yacimientos Carboníferos de Río Turbio SA [100.0%],-51.546015,-72.231256,subcritical,Americas,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,Santa Cruz
L100000100002,G100000108783,Argentina,Unit 5,San Nicolás power station,,Central Térmica San Nicolás,375.0,operating,1983,,exact,AES Argentina Generación SA [100%],AES Corp [100.0%],-33.35492,-60.172917,subcritical,Americas,https://www.gem.wiki/San_Nicolás_power_station,Buenos Aires
L100000100031,G100000100202,Australia,Unit 1,Anglesea power station,,,160.0,retired,1969,2015,exact,Alcoa of Australia [100%],Alcoa Corp,-38.38655,144.182062,subcritical,Oceania,https://www.gem.wiki/Anglesea_power_station,Victoria
L100000100027,G100000100329,Australia,Phase I,Arckaringa Coal-to-Liquids and Power Project,,,560.0,cancelled,,,approximate,Altona Energy [100%],Altona Resources,-27.938926,134.726094,unknown,Oceania,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project,South Australia
L100000100027,G100000100330,Australia,Phase II,Arckaringa Coal-to-Liquids and Power Project,,,280.0,cancelled,,,approximate,Altona Energy [100%],Altona Resources,-27.938926,134.726094,unknown,Oceania,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project,South Australia
L100000100004,G100000100678,Australia,Plant B,Bayswater power station,,,2000.0,cancelled,,,exact,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],-32.395,150.9492,unknown,Oceania,https://www.gem.wiki/Bayswater_power_station,New South Wales
L100000100004,G100000100679,Australia,Unit 1,Bayswater power station,,,685.0,operating,1985,,exact,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],-32.3940422,150.9500828,subcritical,Oceania,https://www.gem.wiki/Bayswater_power_station,New South Wales
L100000100004,G100000100680,Australia,Unit 2,Bayswater power station,,,660.0,operating,1985,,exact,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],-32.3940422,150.9500828,subcritical,Oceania,https://www.gem.wiki/Bayswater_power_station,New South Wales
L100000100004,G100000100681,Australia,Unit 3,Bayswater power station,,,660.0,operating,1986,,exact,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],-32.3940422,150.9500828,subcritical,Oceania,https://www.gem.wiki/Bayswater_power_station,New South Wales
L100000100004,G100000100682,Australia,Unit 4,Bayswater power station,,,660.0,operating,1986,,exact,AGL Macquarie Pty Ltd [100%],AGL Energy Ltd [100.0%],-32.3940422,150.9500828,subcritical,Oceania,https://www.gem.wiki/Bayswater_power_station,New South Wales
L100000100038,G100000100962,Australia,Unit 1,Bluewaters power station,,,233.0,operating,2009,,exact,Sumitomo Corp; Kansai Electric Power Co,Kansai Electric Power Co; Sumitomo Corp,-33.332186,116.228023,subcritical,Oceania,https://www.gem.wiki/Bluewaters_power_station,Western Australia
