gem-location-id,gem-phase-id,country/area,phase-name,project-name,project-name-in-local-language-/-script,other-name(s),capacity-(mw),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,operator,installation-type,region,url,owner-name-in-local-language-/-script,operator-name-in-local-language-/-script
L100000900709,G100000900812,Afghanistan,--,Herat wind farm,,,200.0,announced,,,approximate,77 Construction Co,34.3529,62.204,Herat,,Onshore,Asia,https://www.gem.wiki/Herat_wind_farm,,
L100000900959,G100000908161,Afghanistan,1,Iran-Afghanistan wind farm,,,25.0,shelved,,,approximate,,33.7823,60.6459,,,Onshore,Asia,https://www.gem.wiki/Iran-Afghanistan_wind_farm,,
L100000900959,G100000901101,Afghanistan,2,Iran-Afghanistan wind farm,,,25.0,shelved,,,approximate,,33.7823,60.6459,,,Onshore,Asia,https://www.gem.wiki/Iran-Afghanistan_wind_farm,,
L100000909808,G100000912593,Åland Islands,--,Båtskär wind farm,,,14.0,operating,2007,,exact,Leovind Ab,59.9589,19.9543,,,Onshore,Europe,https://www.gem.wiki/Båtskär_wind_farm,,
L100000914431,G100000917884,Åland Islands,--,Långnabba wind farm,,,40.0,operating,2022,,exact,Vind AX AB,60.1368,19.5655,,,Offshore mount unknown,Europe,https://www.gem.wiki/Långnabba_wind_farm,,
L100000919278,G100000923761,Åland Islands,--,Noatun Nord wind farm,,"Noatun Norra, Noatun North",5000.0,announced,,,approximate,Ålandsbanken,60.6241,19.9197,,,Offshore mount unknown,Europe,https://www.gem.wiki/Noatun_Nord_wind_farm,,
L100000919279,G100000923762,Åland Islands,--,Noatun Syd wind farm,,"Noatun South, Noatun Södra",3000.0,announced,,,approximate,Ålandsbanken,60.4256,20.1777,,,Offshore mount unknown,Europe,https://www.gem.wiki/Noatun_Syd_wind_farm,,
L100000911703,G100000914717,Åland Islands,--,Stenarna wind farm,,,20.0,shelved,,,exact,Ålands Vindkraft AB; Ålands; Leovind Ab; Ålands Vindenergi Andelslag (ÅVA),60.1191,19.6843,,,Onshore,Europe,https://www.gem.wiki/Stenarna_wind_farm,,
L100000919280,G100000923763,Åland Islands,--,Stormskär wind farm,,,1725.0,announced,,,approximate,Ilmatar Energy Oy,60.6241,19.9197,,,Offshore mount unknown,Europe,https://www.gem.wiki/Stormskär_wind_farm,,
L100000919281,G100000923764,Åland Islands,--,Väderskär wind farm,,,375.0,announced,,,approximate,Ilmatar Energy Oy,60.6241,19.9197,,,Offshore mount unknown,Europe,https://www.gem.wiki/Väderskär_wind_farm,,
L100000919282,G100000923765,Åland Islands,--,Vågskär wind farm,,,1200.0,announced,,,approximate,Ilmatar Energy Oy,60.6241,19.9197,,,Offshore mount unknown,Europe,https://www.gem.wiki/Vågskär_wind_farm,,
L100000919283,G100000923766,Albania,--,Dropull wind farm,,,50.0,announced,,,approximate,EU Green Energy,39.9406,20.2478,,,Onshore,Europe,https://www.gem.wiki/Dropull_wind_farm,,
L100000915885,G100000919629,Albania,--,Kapshticë wind farm,,,150.0,cancelled,,,approximate,,41.0001,20.0001,,HERA,Onshore,Europe,https://www.gem.wiki/Kapshticë_wind_farm,,
L100000919284,G100000923767,Albania,--,Karaburun Eurus wind farm,,,10.0,cancelled,,,approximate,Eurus Energy,40.4667,19.4845,,,Onshore,Europe,https://www.gem.wiki/Karaburun_Eurus_wind_farm,株式会社ユーラスエナジーホールディングス,
L100000919285,G100000923768,Albania,--,Karaburun WF wind farm,,,10.0,cancelled,,,approximate,WF Energy Ltd,40.4667,19.4845,,,Onshore,Europe,https://www.gem.wiki/Karaburun_WF_wind_farm,,
L100000919286,G100000923769,Albania,1,Karaburun wind farm (Albania),,,10.0,announced,,,approximate,BRD Energy,40.4052,19.4337,,,Offshore mount unknown,Europe,https://www.gem.wiki/Karaburun_wind_farm_(Albania),,
L100000919286,G100000923770,Albania,2,Karaburun wind farm (Albania),,,10.0,announced,,,approximate,GMT Investment,40.4052,19.4337,,,Offshore mount unknown,Europe,https://www.gem.wiki/Karaburun_wind_farm_(Albania),,
L100000919286,G100000923771,Albania,3,Karaburun wind farm (Albania),,,10.0,announced,,,approximate,GRS Energy,40.4052,19.4337,,,Offshore mount unknown,Europe,https://www.gem.wiki/Karaburun_wind_farm_(Albania),,
L100000919286,G100000923772,Albania,4,Karaburun wind farm (Albania),,,10.0,announced,,,approximate,MGN Energy,40.4052,19.4337,,,Offshore mount unknown,Europe,https://www.gem.wiki/Karaburun_wind_farm_(Albania),,
L100000919286,G100000923773,Albania,5,Karaburun wind farm (Albania),,,10.0,announced,,,approximate,ORT Investment,40.4052,19.4337,,,Offshore mount unknown,Europe,https://www.gem.wiki/Karaburun_wind_farm_(Albania),,
L100000914221,G100000917630,Albania,--,Kavaje wind farm,,,40.0,cancelled,,,approximate,,41.0,20.0,,ERS-08,Onshore,Europe,https://www.gem.wiki/Kavaje_wind_farm,,
L100000913899,G100000917256,Albania,--,Kurbin wind farm,,,36.0,cancelled,,,approximate,,41.6392,19.7102,,,Onshore,Europe,https://www.gem.wiki/Kurbin_wind_farm,,
L100000916019,G100000919784,Albania,--,Lezhe wind farm,,,230.0,cancelled,,,approximate,,41.0,20.0,,Biopower Green Energy,Onshore,Europe,https://www.gem.wiki/Lezhe_wind_farm,,
L100000919287,G100000923774,Albania,BPGE1,Lezhë wind farm,,Lezha wind farm,114.0,construction,,,approximate,Biopower Green Energy; Marseglia Group SpA,41.7906,19.6444,,,Onshore,Europe,https://www.gem.wiki/Lezhë_wind_farm,,
L100000919287,G100000923775,Albania,BPGE2,Lezhë wind farm,,Lezha wind farm,120.0,construction,,,approximate,Biopower Green Energy; Marseglia Group SpA,41.7906,19.6444,,,Onshore,Europe,https://www.gem.wiki/Lezhë_wind_farm,,
L100000915447,G100000919105,Albania,--,Markat wind farm,,,72.0,cancelled,,,approximate,,41.0,20.0,,E-Vento,Onshore,Europe,https://www.gem.wiki/Markat_wind_farm,,
L100000900124,G100000900162,Algeria,--,Kabertene wind farm,"مدينة أدرار, مزرعة رياح كبيرت",Kabartene wind farm,10.0,operating,2014,,exact,Shariket Kahraba wa Taket Moutadjadida SPA (SKTM),28.4624,-0.0576,Adrar,Sonelgaz,Onshore,Africa,https://www.gem.wiki/Kabertene_wind_farm,شركة الكهرباء و الطاقات المتجددة,سونلغاز
L100000900137,G100000900178,Algeria,--,Khenchela wind farm,مزرعة رياح خنشلة,,20.0,cancelled,,,approximate,,35.1689,7.1055,,,Onshore,Africa,https://www.gem.wiki/Khenchela_wind_farm,,
L100000916594,G100000920620,Algeria,--,Timimoun wind farm,,Timimoun Sktm,50.0,cancelled,,,approximate,Shariket Kahraba wa Taket Moutadjadida SPA (SKTM),29.2356,0.4569,,,Unknown,Africa,https://www.gem.wiki/Timimoun_wind_farm,شركة الكهرباء و الطاقات المتجددة,
L100000906625,G100000908933,American Samoa,1,A'Asu Wind One Power Project,,,42.0,shelved,,,approximate,Renova Inc ; Green Global Solutions,-14.3105,-170.769,American Samoa,Green Global Solutions,Onshore,Oceania,https://www.gem.wiki/A'Asu_Wind_One_Power_Project,,
L100000916595,G100000920621,Angola,--,Benjamin wind farm,,,52.0,pre-construction,2028,,exact,,-13.3341,14.8213,Benguela Province,,Onshore,Africa,https://www.gem.wiki/Benjamin_wind_farm,,
L100000916596,G100000920622,Angola,--,Cacula wind farm,,,88.0,pre-construction,2029,,exact,,-14.29,14.2574,Huíla Province,,Onshore,Africa,https://www.gem.wiki/Cacula_wind_farm,,
L100000916597,G100000920623,Angola,--,Calenga wind farm,,,84.0,shelved,,,exact,,-12.954,15.4423,Huambo Province,,Onshore,Africa,https://www.gem.wiki/Calenga_wind_farm,,
L100000916598,G100000920624,Angola,--,Chibia wind farm,,,48.0,pre-construction,2030,,exact,,-15.5324,13.7108,Huíla Province,,Onshore,Africa,https://www.gem.wiki/Chibia_wind_farm,,
L100000900138,G100000900179,Angola,--,Cuanza Norte wind farm,,,40.0,cancelled,,,approximate,,-8.4119,15.4856,Cuanza Norte,,Onshore,Africa,https://www.gem.wiki/Cuanza_Norte_wind_farm,,
L100000916599,G100000920625,Angola,--,Gastão wind farm,,,30.0,shelved,,,exact,,-8.5209,15.4241,Cuanza Norte Province,,Onshore,Africa,https://www.gem.wiki/Gastão_wind_farm,,
L100000900130,G100000900170,Angola,1,Kiwaba Nzoji wind farm,,,62.0,pre-construction,2033,,exact,V&V Rending SA,-8.9409,16.4722,Malanje,,Onshore,Africa,https://www.gem.wiki/Kiwaba_Nzoji_wind_farm,,
L100000900130,G100000920626,Angola,2,Kiwaba Nzoji wind farm,,,42.0,pre-construction,2034,,exact,V&V Rending SA,-8.9297,16.4863,Malanje Province,,Onshore,Africa,https://www.gem.wiki/Kiwaba_Nzoji_wind_farm,,
L100000900139,G100000900180,Angola,--,Lubango wind farm,,,40.0,announced,,,approximate,,-14.8815,13.433,Huíla,,Onshore,Africa,https://www.gem.wiki/Lubango_wind_farm,,
L100001018551,G100001020746,Angola,--,Morro do Ouro wind farm,,,50.0,operating,2014,,approximate,,-15.2198,12.7258,Namibe,,Onshore,Africa,https://www.gem.wiki/Morro_do_Ouro_wind_farm,,
L100000916600,G100000920627,Angola,1,Mussende wind farm,,,36.0,pre-construction,2035,,exact,,-10.4221,16.0764,Cuanza Sul Province,,Onshore,Africa,https://www.gem.wiki/Mussende_wind_farm,,
